fleet,truck_number,platform_id,vehicle_year,vehicle_make,vehicle_model,date_of_service,dpf_failure
Conway,432 3619,309450,2014,Freightliner,Cascadia,1/4/2019,Yes
Conway,432 3577,308374,2014,Freightliner,Cascadia,1/9/2019,Yes
Conway,426 6337,10315963,2013,Freightliner,Cascadia,1/17/2019,Yes
Conway,532 4279,10314364,2014,Freightliner,Cascadia,1/28/2019,Yes
Conway,432 3754,307112,2014,Freightliner,Cascadia,2/13/2019,Yes
Conway,532 5458,10312983,2015,Freightliner,Cascadia,3/16/2019,Yes
Conway,432 3874,308049,2014,Freightliner,Cascadia,3/19/2019,Yes
Conway,632 3472,310201,2013,Freightliner,Cascadia,4/9/2019,Yes
Conway,432 3721,303576,2014,Freightliner,Cascadia,4/17/2019,Yes
Conway,432 2497,302332,2012,Freightliner,Cascadia,4/20/2019,Yes
Conway,632 3488,310299,2013,Freightliner,Cascadia,4/22/2019,Yes
Conway,432 3753,307630,2014,Freightliner,Cascadia,5/13/2019,Yes
Conway,632 3385,310506,2013,Freightliner,Cascadia,6/5/2019,Yes
Conway,432 3742,304355,2014,Freightliner,Cascadia,6/6/2019,Yes
Conway,434 2019,303757,2013,Freightliner,Cascadia,6/10/2019,Yes
Conway,632 3234,308766,2014,Freightliner,Cascadia,6/12/2019,Yes
Conway,532 4262,310929,2014,Freightliner,Cascadia,6/20/2019,Yes
Conway,532 3313,304885,2013,Freightliner,Cascadia,6/21/2019,Yes
Conway,532 4325,312153,2014,Freightliner,Cascadia,6/27/2019,Yes
Conway,432 5793,312890,2016,Freightliner,Cascadia,6/27/2019,Yes
Conway,532 3189,303104,2013,Freightliner,Cascadia,7/9/2019,Yes
Conway,632 1241,301589,2012,Freightliner,Cascadia,7/10/2019,Yes
Conway,532 6282,10315841,2016,Freightliner,Cascadia,7/12/2019,Yes
Conway,532 0344,300490,2011,Freightliner,Cascadia,7/16/2019,Yes
Conway,432 3704,301682,2014,Freightliner,Cascadia,7/16/2019,Yes
Conway,434 3002,305958,2014,Freightliner,Cascadia,7/17/2019,Yes
Conway,432 5791,312738,2015,Freightliner,Cascadia,7/18/2019,Yes
Conway,432 5874,10312984,2015,Freightliner,Cascadia,7/20/2019,Yes
Conway,432 5943,313154,2015,Freightliner,Cascadia,7/21/2019,Yes
Conway,632 3393,309984,2013,Freightliner,Cascadia,7/24/2019,Yes
Conway,432 5783,312753,2015,Freightliner,Cascadia,7/24/2019,Yes
Conway,432 2343,302230,2012,Freightliner,Cascadia,7/25/2019,Yes
Conway,432 1765,306571,2012,Freightliner,Cascadia,7/25/2019,Yes
Conway,432 2918,305391,2013,Freightliner,Cascadia,7/26/2019,Yes
Conway,632 3361,309774,2013,Freightliner,Cascadia,7/30/2019,Yes
Conway,434 3009,303909,2014,Freightliner,Cascadia,8/1/2019,Yes
Conway,432 1679,302054,2012,Freightliner,Cascadia,8/2/2019,Yes
Conway,532 3226,304104,2014,Freightliner,Cascadia,8/2/2019,Yes
Conway,432 3650,301842,2014,Freightliner,Cascadia,8/4/2019,Yes
Conway,632 3294,310176,2013,Freightliner,Cascadia,8/13/2019,Yes
Conway,532 4323,311976,2014,Freightliner,Cascadia,8/14/2019,Yes
Conway,632 3260,308609,2013,Freightliner,Cascadia,8/19/2019,Yes
Conway,432 3686,301585,2014,Freightliner,Cascadia,8/23/2019,Yes
Conway,532 0368,301475,2011,Freightliner,Cascadia,8/26/2019,Yes
Conway,432 9681,309057,2010,Freightliner,Cascadia,9/12/2019,Yes
Conway,532 3359,309011,2013,Freightliner,Cascadia,9/24/2019,Yes
Conway,632 3421,310175,2013,Freightliner,Cascadia,9/26/2019,Yes
Conway,532 6339,10315904,2016,Freightliner,Cascadia,10/4/2019,Yes
Conway,532 5488,10314820,2015,Freightliner,Cascadia,10/22/2019,Yes
Conway,532 4334,311645,2014,Freightliner,Cascadia,11/8/2019,Yes
Conway,432 1817,303148,2012,Freightliner,Cascadia,1/10/2020,Yes
Conway,524 4000,303094,2014,Freightliner,Cascadia,1/14/2020,Yes
Conway,632 3263,310231,2013,Freightliner,Cascadia,1/15/2020,Yes
Conway,432 3807,305945,2014,Freightliner,Cascadia,1/22/2020,Yes
Conway,532 7702,10318423,2017,Freightliner,Cascadia,2/10/2020,Yes
Conway,532 6384,10315950,2016,Freightliner,Cascadia,2/11/2020,Yes
Conway,632 3451,310280,2013,Freightliner,Cascadia,2/13/2020,Yes
Conway,532 3190,306527,2014,Freightliner,Cascadia,2/13/2020,Yes
Conway,432 5928,313183,2015,Freightliner,Cascadia,2/18/2020,Yes
Conway,432 2334,307241,2012,Freightliner,Cascadia,2/20/2020,Yes
Conway,432 1422,304333,2012,Freightliner,Cascadia,3/5/2020,Yes
Conway,632 3297,309164,2013,Freightliner,Cascadia,3/5/2020,Yes
Conway,632 3311,10314451,2014,Freightliner,Cascadia,3/11/2020,Yes
Conway,432 5875,312958,2015,Freightliner,Cascadia,3/12/2020,Yes
Conway,632 3203,302576,2014,Freightliner,Cascadia,3/17/2020,Yes
Conway,432 5771,312545,2015,Freightliner,Cascadia,3/27/2020,Yes
Conway,434 3035,310110,2013,Freightliner,Cascadia,5/4/2020,Yes
Conway,532 7220,10317538,2017,Freightliner,Cascadia,5/12/2020,Yes
Conway,434 0037,305712,2010,Freightliner,Cascadia,5/15/2020,Yes
Conway,432 2551,308292,2012,Freightliner,Cascadia,5/29/2020,Yes
Conway,532 0628,302372,2010,Freightliner,Cascadia,1/1/2020,No
Conway,432 9828,302548,2010,Freightliner,Cascadia,1/1/2020,No
Conway,532 0862,300498,2011,Freightliner,Cascadia,1/1/2020,No
Conway,432 1758,300500,2011,Freightliner,Cascadia,1/1/2020,No
Conway,432 2498,300703,2012,Freightliner,Cascadia,1/1/2020,No
Conway,432 1775,300573,2012,Freightliner,Cascadia,1/1/2020,No
Conway,632 1238,300578,2012,Freightliner,Cascadia,1/1/2020,No
Conway,432 1355,300681,2012,Freightliner,Cascadia,1/1/2020,No
Conway,432 2454,300771,2012,Freightliner,Cascadia,1/1/2020,No
Conway,432 1846,300776,2012,Freightliner,Cascadia,1/1/2020,No
Conway,432 2723,301544,2012,Freightliner,Cascadia,1/1/2020,No
Conway,432 1816,301554,2012,Freightliner,Cascadia,1/1/2020,No
Conway,632 2115,301841,2013,Freightliner,Cascadia,1/1/2020,No
Conway,432 2584,301889,2013,Freightliner,Cascadia,1/1/2020,No
Conway,432 2737,301958,2013,Freightliner,Cascadia,1/1/2020,No
Conway,632 2112,301972,2013,Freightliner,Cascadia,1/1/2020,No
Conway,432 2914,302019,2013,Freightliner,Cascadia,1/1/2020,No
Conway,432 3454,308052,2013,Freightliner,Cascadia,1/1/2020,No
Conway,432 3835,302641,2014,Freightliner,Cascadia,1/1/2020,No
Conway,432 3842,302642,2014,Freightliner,Cascadia,1/1/2020,No
Conway,432 3816,302651,2014,Freightliner,Cascadia,1/1/2020,No
Conway,432 3810,302653,2014,Freightliner,Cascadia,1/1/2020,No
Conway,632 3213,302655,2014,Freightliner,Cascadia,1/1/2020,No
Conway,432 3720,302662,2014,Freightliner,Cascadia,1/1/2020,No
Conway,432 3813,302668,2014,Freightliner,Cascadia,1/1/2020,No
Conway,578 4611,311663,2015,Freightliner,Cascadia,1/1/2020,No
Conway,432 5839,312889,2015,Freightliner,Cascadia,1/1/2020,No
Conway,432 5842,312892,2015,Freightliner,Cascadia,1/1/2020,No
Conway,432 5799,312897,2015,Freightliner,Cascadia,1/1/2020,No
Conway,432 5818,312903,2015,Freightliner,Cascadia,1/1/2020,No
Conway,432 5802,312905,2015,Freightliner,Cascadia,1/1/2020,No
Conway,432 5807,312909,2015,Freightliner,Cascadia,1/1/2020,No
Conway,532 6439,10316053,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6444,10316081,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6445,10316082,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6447,10316084,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6449,10316086,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6450,10316088,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6451,10316089,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 7238,10317557,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 7816,10318576,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 7817,10318577,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 7818,10318578,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 7822,10318582,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 7823,10318584,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 8328,10320625,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8329,10320626,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8330,10320628,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8383,10320906,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8413,10320955,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8414,10320956,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8415,10320957,2019,Freightliner,Cascadia,1/1/2020,No
Conway,632 0326,10326079,2020,Freightliner,Cascadia,1/1/2020,No
Conway,632 0269,10326022,2020,Freightliner,Cascadia,1/1/2020,No
Conway,432 2696,303752,2013,Freightliner,Cascadia,6/11/2020,Yes
Conway,632 3386,309405,2014,Freightliner,Cascadia,6/17/2020,Yes
Conway,432 2531,307602,2012,Freightliner,Cascadia,6/23/2020,Yes
Conway,432 2854,301117,2013,Freightliner,Cascadia,6/26/2020,Yes
Conway,532 6298,10315859,2016,Freightliner,Cascadia,7/14/2020,Yes
Conway,432 2322,307422,2012,Freightliner,Cascadia,7/21/2020,Yes
Conway,432 5835,312834,2015,Freightliner,Cascadia,7/22/2020,Yes
Conway,432 2849,306479,2013,Freightliner,Cascadia,7/24/2020,Yes
Conway,632 3349,309642,2013,Freightliner,Cascadia,7/31/2020,Yes
Conway,432 5803,312831,2015,Freightliner,Cascadia,8/6/2020,Yes
Conway,432 5953,10312705,2015,Freightliner,Cascadia,8/11/2020,Yes
Conway,532 4299,311109,2014,Freightliner,Cascadia,8/20/2020,Yes
Conway,432 3517,309094,2013,Freightliner,Cascadia,8/25/2020,Yes
Conway,432 1481,309607,2012,Freightliner,Cascadia,8/27/2020,Yes
